household_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,collection_date_1a,collection_time_1a,collector,femalea_unfed,femalea_bloodfed,femalea_hg,femalea_gravid,femalea_ud,femalea_total,femalea_total_archived,male_anopheles,femalec_unfed,femalec_bloodfed,femalec_hg,femalec_gravid,femalec_ud,femalec_total,femalec_archive,male_culicine,notes_1a,form_enterer,date_entered_1a,formchecker,date_checked_1a,ento_form_1a_immediately_processed_summary_complete
K01,january_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-01-20,,7,0,0,0,0,0,0,,0,0,0,9,4,0,13,,13,,3,2020-04-08,1,2020-04-08,2
K01,january_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-01-27,,7,0,0,0,0,0,0,,0,3,0,5,7,0,15,,67,,3,2020-04-08,1,2020-04-08,1
K01,february_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-02-03,,9,0,0,0,0,0,0,,0,2,2,12,4,0,20,,28,,3,2020-04-10,1,2020-04-10,1
K01,february_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-02-17,,9,0,0,0,0,0,0,,0,3,2,5,6,2,18,,22,,3,2020-04-14,1,2020-04-14,1
K01,february_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-02-24,,9,0,0,0,0,0,0,,0,0,3,2,2,0,7,,10,,3,2020-04-14,1,2020-04-14,1
K01,march_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-03-02,,5,0,0,0,0,0,0,,0,1,3,13,5,0,22,,17,,3,2020-04-28,1,2020-04-28,1
K01,march_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-03-16,,8,0,0,0,0,0,0,,0,2,3,8,6,1,20,,26,,3,2020-04-28,1,2020-04-28,1
K01,may_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-05-29,,7,0,0,1,1,0,2,,3,15,21,22,16,0,74,,91,,3,2020-06-04,1,2020-06-04,1
K01,june_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-06-15,,7,0,1,1,0,0,2,,0,15,41,131,42,0,229,,89,,3,2020-06-17,1,2020-06-17,1
K01,june_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-06-22,,7,0,1,0,1,0,2,,1,16,18,26,28,0,88,,93,,3,2020-06-30,1,2020-06-30,1
K01,july_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-07-06,,3,0,0,0,0,0,0,,0,2,4,4,2,0,12,,10,,3,2020-07-08,1,2020-07-08,1
K01,july_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-07-20,,3,0,0,0,1,0,1,,0,1,0,5,1,0,7,,7,,3,2020-07-22,1,2020-07-22,1
K01,july_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-07-27,,3,0,0,0,0,0,0,,0,1,0,0,1,0,2,,3,,3,2020-08-04,1,2020-08-04,1
K01,august_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-08-17,,6,0,1,0,0,0,1,,0,5,0,5,1,0,11,,8,,3,2020-08-28,1,2020-08-28,2
K01,august_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-08-24,,6,0,0,0,0,0,0,,2,1,0,4,0,0,5,,12,,3,2020-08-28,1,2020-08-28,2
K01,august_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-08-31,,5,0,1,0,0,0,1,,0,0,0,0,2,0,2,,0,,3,2020-09-02,1,2020-09-02,2
K01,september_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-09-14,,5,0,0,0,0,0,0,,0,3,2,3,2,0,10,,3,,5,2020-09-22,1,2020-09-22,2
K01,september_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-09-21,,5,0,1,0,1,0,2,,2,19,11,9,13,0,52,,78,,5,2020-09-22,1,2020-09-22,2
K01,september_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-09-21,,5,0,1,0,1,0,2,,2,19,11,9,13,0,52,,78,,5,2020-09-23,1,2020-09-23,2
K01,october_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-10-05,,4,0,0,0,0,0,0,,1,7,3,12,7,0,29,,27,,3,2020-10-06,1,2020-10-06,2
K01,october_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-10-19,,4,0,0,0,0,0,0,,2,17,25,10,14,1,67,,51,,4,2020-10-21,1,2020-10-21,2
K01,october_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-10-26,,4,0,0,0,0,0,0,,1,87,26,32,28,2,175,,167,,5,2020-10-27,1,2020-10-27,2
K01,november_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-11-02,,9,1,0,0,0,0,1,,2,50,20,24,26,0,120,,170,,4,2020-11-03,1,2020-11-03,2
K01,november_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-11-16,,9,0,1,0,0,0,1,,0,26,14,12,16,0,68,,204,,3,2020-11-16,1,2020-11-16,2
K01,november_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-11-23,,9,0,0,0,0,0,0,,0,22,10,3,16,4,55,,108,,5,2020-11-25,1,2020-11-25,2
K01,november_2020_arm_1,ento_form_1a_immediately_processed_summary,4,2020-11-30,,8,0,0,0,0,0,0,,0,11,0,14,12,0,37,,57,,3,2020-11-30,1,2020-11-30,2
K01,december_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-12-14,,8,0,0,0,0,0,0,,0,5,2,9,2,1,19,,14,,4,2020-12-14,1,2020-12-14,2
K01,january_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-01-04,,9,0,0,0,0,0,0,,0,0,2,10,3,0,15,,22,,3,2021-01-07,1,2021-01-07,2
K01,january_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-01-18,,9,0,0,0,0,0,0,,3,3,2,4,10,1,20,,40,,3,2021-02-01,1,2021-02-01,2
K01,january_2021_arm_1,ento_form_1a_immediately_processed_summary,3,2021-01-25,,9,0,1,0,0,0,1,,1,1,0,2,1,0,4,,14,,3,2021-02-01,1,2021-02-01,2
K01,feburary_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-02-15,,3,0,0,0,1,0,1,,1,4,2,1,4,1,12,,21,,4,2021-02-23,1,2021-02-23,2
K01,feburary_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-02-22,,3,0,2,0,2,0,4,,0,2,3,1,1,0,7,,6,,4,2021-02-23,1,2021-02-23,2
K01,march_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-03-15,,6,0,1,0,1,0,2,,0,0,0,0,1,0,1,,1,,3,2021-03-28,1,2021-03-28,2
K01,march_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-03-22,,6,0,0,0,0,0,0,,6,1,1,0,1,0,3,,3,,3,2021-03-28,1,2021-03-28,2
K01,march_2021_arm_1,ento_form_1a_immediately_processed_summary,3,2021-03-29,,6,1,1,1,0,0,3,,1,1,0,0,0,0,1,,2,,3,2021-03-31,1,2021-03-31,2
K01,april_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-04-19,,7,1,2,0,0,0,3,,0,0,1,1,1,0,3,,4,,3,2021-04-24,1,2021-04-24,2
K01,april_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-04-26,,7,0,6,1,1,0,8,,2,2,10,0,3,0,15,,9,,5,2021-04-28,1,2021-04-28,2
K01,may_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-05-17,,4,10,9,0,5,0,24,,9,11,43,104,44,0,202,,43,,5,2021-05-18,1,2021-05-18,2
K01,may_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-05-24,,4,5,11,1,8,1,26,,9,19,95,115,116,0,345,,138,,5,2021-06-08,1,2021-06-08,2
K01,june_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-06-14,,4,3,11,0,0,0,14,,3,26,55,63,42,3,189,,147,,4,2021-07-01,1,2021-07-01,2
K01,june_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-06-21,,10,0,0,2,1,0,3,,3,19,92,41,38,0,190,,66,,6,2021-07-02,1,2021-07-02,2
K01,june_2021_arm_1,ento_form_1a_immediately_processed_summary,3,2021-06-28,,10,0,0,0,0,0,0,,2,14,0,4,20,0,38,,66,,6,2021-07-05,1,2021-07-05,2
K01,july_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-07-19,,9,0,0,0,0,0,0,,0,1,1,1,2,0,5,,14,,6,2021-07-22,1,2021-07-22,2
K01,july_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-07-26,,9,0,0,0,0,0,0,,0,0,0,0,0,0,0,,5,,6,2021-07-29,1,2021-07-29,2
K01,august_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-08-16,,2,1,0,0,0,0,1,,2,2,0,0,2,0,4,,32,,6,2021-08-19,1,2021-08-19,2
K01,august_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-08-23,,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,,2,,6,2021-08-31,1,2021-08-31,2
K01,august_2021_arm_1,ento_form_1a_immediately_processed_summary,3,2021-08-30,,2,0,0,0,0,0,0,,0,4,0,0,0,0,4,,8,,6,2021-08-31,1,2021-08-31,2
K01,september_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-09-20,,3,0,0,0,0,0,0,,1,8,0,2,4,0,14,,24,,3,2021-09-27,1,2021-09-27,2
K01,september_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-09-27,,3,0,0,0,0,0,0,,1,9,1,0,4,0,14,,25,,3,2021-09-27,1,2021-09-27,2
K01,october_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-10-18,,3,0,0,0,0,0,0,,0,21,2,0,14,0,37,,71,,3,2021-10-25,1,2021-10-25,2
K01,october_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-10-25,,10,0,0,0,0,0,0,,0,9,1,1,10,0,21,,86,,3,2021-10-25,1,2021-10-25,2
K01,november_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-11-22,,4,0,0,0,0,0,0,,0,28,6,3,9,0,46,,112,,3,2021-11-22,1,2021-11-22,2
K01,november_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-11-15,,4,0,0,0,0,0,0,,0,14,0,2,5,1,22,,58,,3,2021-11-22,1,2021-11-22,2
K01,december_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-12-20,,2,0,0,0,0,0,0,,0,10,22,7,11,0,50,,36,,3,2021-12-20,1,2021-12-20,2
K01,january_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-01-24,,10,0,0,0,0,0,0,,0,1,0,0,0,0,1,,1,,3,2022-01-24,1,2022-01-24,2
K01,january_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-01-17,,10,0,0,0,0,0,0,,0,4,1,0,1,0,6,,8,,3,2022-01-24,1,2022-01-24,2
K01,february_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-02-14,,7,0,0,0,0,0,0,,0,0,0,0,0,0,0,,2,,3,2022-02-16,1,2022-02-16,2
K01,february_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-02-21,,7,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,3,2022-02-22,1,2022-02-22,2
K01,march_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-03-21,,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,3,2022-03-23,1,2022-03-23,2
K01,march_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-03-14,,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,,2,,3,2022-03-23,1,2022-03-23,2
K01,march_2022_arm_1,ento_form_1a_immediately_processed_summary,3,2022-03-28,,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,,1,,3,2022-03-30,1,2022-03-30,2
K01,april_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-04-26,,9,0,0,0,0,0,0,,0,0,1,0,0,0,1,,1,,3,2022-04-26,1,2022-04-26,2
K01,april_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-04-04,,9,0,0,0,0,0,0,,1,0,0,0,0,0,0,,1,,3,2022-04-26,1,2022-04-26,2
K01,may_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-05-23,,2,0,0,0,0,0,0,,0,11,2,3,1,2,19,,29,,3,2022-05-30,1,2022-05-30,2
K01,may_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-05-16,,2,0,0,0,0,0,0,,0,29,0,21,12,1,63,,137,,3,2022-05-30,1,2022-05-30,2
K01,june_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-06-20,,4,0,0,0,0,0,0,,0,11,1,1,0,0,13,,64,,3,2022-06-30,1,2022-06-30,2
K01,june_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-06-13,,4,0,0,0,0,0,0,,0,16,0,2,5,0,23,,77,,3,2022-06-30,1,2022-06-30,2
K01,july_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-07-18,,3,0,0,0,0,0,0,,0,1,2,0,1,0,4,,9,,3,2022-07-19,1,2022-07-19,2
K01,july_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-07-25,,3,0,0,0,0,0,0,,0,0,0,2,3,0,5,,4,,4,2022-08-01,1,2022-08-01,2
K01,august_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-08-01,,7,0,0,0,0,0,0,,0,1,1,0,0,0,2,,1,,4,2022-08-04,1,2022-08-04,2
