household_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,collection_date_2b,collection_time_2b,totalnumber_2b,date_entered_2b,date_checked_2b,ento_form_2b_female__v_0,Village,row_num,sample_num,hh_date_samp,day,species,sampleid_h,sampleid_a,sampleid_w,notes,specify,pf_pcr_infection_status
K01,june_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/8/20,NA,1,7/9/20,7/9/20,Complete,Kinesamo,1,1,K01_2020-06-08_1_1,1,Undetermined,K01 H00096,K01 A00096,K01 W00096,sample very pale,NA,negative
K01,april_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,4/12/21,NA,2,5/7/21,5/7/21,Complete,Kinesamo,2,1,K01_2021-04-12_1_2,3,An. funestus,K01 H00117,K01 A00117,K01 W00117,NA,NA,negative
K01,april_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,4/12/21,NA,2,5/7/21,5/7/21,Complete,Kinesamo,2,2,K01_2021-04-12_2_2,7,An. funestus,K01 H00118,K01 A00118,K01 W00118,NA,NA,negative
K01,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,3,6/24/21,6/24/21,Complete,Kinesamo,3,1,K01_2021-05-10_1_3,7,An. funestus,K01 H00156,K01 A00156,K01 W00156,Processed day 8,NA,negative
K01,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,3,6/24/21,6/24/21,Complete,Kinesamo,3,2,K01_2021-05-10_2_3,7,An. gambiae,K01 H00157,K01 A00157,K01 W00157,Processed day 8,NA,NA
K01,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,3,6/24/21,6/24/21,Complete,Kinesamo,3,3,K01_2021-05-10_3_3,7,An. gambiae,K01 H00158,K01 A00158,K01 W00158,Processed day 8,NA,negative
K02,june_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/8/20,NA,1,7/9/20,7/9/20,Complete,Kinesamo,4,1,K02_2020-06-08_1_4,7,An. gambiae,K02 H00114,K02 A00114,K02 W00114,no hind legs,NA,negative
K02,june_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,2,6/8/20,NA,1,7/9/20,7/9/20,Complete,Kinesamo,5,1,K02_2020-06-08_1_5,1,An. gambiae,K02 H00111,K02 A00111,K02 W00111,NA,NA,negative
K02,june_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,3,6/8/20,NA,1,7/9/20,7/9/20,Complete,Kinesamo,6,1,K02_2020-06-08_1_6,1,An. gambiae,K02 H00110,K02 A00110,K02 W00110,NA,NA,negative
K02,october_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,10/12/20,NA,4,10/29/20,10/29/20,Complete,Kinesamo,7,1,K02_2020-10-12_1_7,1,An. gambiae,K02 H00129,K02 A00129,K02 W00129,NA,NA,negative
K02,october_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,10/12/20,NA,4,10/29/20,10/29/20,Complete,Kinesamo,7,2,K02_2020-10-12_2_7,1,An. funestus,K02 H00130,K02 A00130,K02 W00130,NA,NA,negative
K02,october_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,10/12/20,NA,4,10/29/20,10/29/20,Complete,Kinesamo,7,3,K02_2020-10-12_3_7,2,An. funestus,K02 H00131,K02 A00131,K02 W00131,NA,NA,negative
K02,october_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,10/12/20,NA,4,10/29/20,10/29/20,Complete,Kinesamo,7,4,K02_2020-10-12_4_7,2,An. gambiae,K02 H00132,K02 A00132,K02 W00132,NA,NA,negative
K02,november_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,11/9/20,NA,3,11/30/20,11/30/20,Complete,Kinesamo,8,1,K02_2020-11-09_1_8,1,An. funestus,K02 H00138,K02 A00138,K02 W00138,NA,NA,negative
K02,november_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,11/9/20,NA,3,11/30/20,11/30/20,Complete,Kinesamo,8,2,K02_2020-11-09_2_8,1,An. gambiae,K02 H00139,K02 A00139,K02 W00139,NA,NA,negative
K02,november_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,11/9/20,NA,3,11/30/20,11/30/20,Complete,Kinesamo,8,3,K02_2020-11-09_3_8,6,An. gambiae,K02 H00140,K02 A00140,K02 W00140,NA,NA,negative
K02,december_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,12/7/20,NA,1,12/22/20,12/22/20,Complete,Kinesamo,9,1,K02_2020-12-07_1_9,1,An. gambiae,K02 H00148,K02 A00148,K02 W00148,NA,NA,negative
K02,january_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,1/11/21,NA,2,2/17/21,2/17/21,Complete,Kinesamo,10,1,K02_2021-01-11_1_10,1,An. gambiae,K02 H00151,K02 A00151,K02 W00151,NA,NA,negative
K02,january_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,1/11/21,NA,2,2/17/21,2/17/21,Complete,Kinesamo,10,2,K02_2021-01-11_2_10,7,An. funestus,K02 H00154,K02 A00154,K02 W00154,NA,NA,negative
